Points,Raw Dim,Compressed Dim,Worst Similarity,Best Similarity,Worst Distance,Best Distance
7,15,3,0.997634558,0.99997719,0.068781429,0.006754204
7,15,4,0.9999278,0.999977356,0.012016629,0.006729707
7,15,5,0.99992216,0.999976572,0.012477173,0.006845077
7,15,6,0.999910807,0.999974727,0.013356119,0.00710959
7,15,7,0.999923598,0.999976188,0.012361356,0.006900956
7,15,8,0.999838873,0.999970517,0.017951447,0.00767899
7,15,9,0.999869752,0.999976012,0.016139881,0.006926469
7,15,10,0.999918199,0.999975019,0.012790716,0.007068442
7,15,11,0.999863106,0.999975582,0.01654652,0.006988218
7,15,12,0.999886811,0.999974097,0.015045867,0.007197619
7,15,13,0.999879283,0.999973182,0.015538158,0.007323619
7,15,14,0.999923665,0.999975989,0.012355952,0.006929851
7,16,2,0.999960753,0.999987503,0.008859649,0.004999484
7,16,3,0.999955786,0.999974345,0.00940366,0.007163041
7,16,4,0.999914573,0.999978158,0.013071108,0.006609397
7,16,5,0.999921332,0.999988954,0.012543402,0.00470017
7,16,6,0.999929334,0.999989125,0.011888286,0.004663618
7,16,7,0.999921095,0.999990025,0.012562259,0.004466537
7,16,8,0.999884662,0.999977532,0.015188041,0.006703425
7,16,9,0.999888719,0.999982247,0.014918505,0.005958655
7,16,10,0.999878936,0.999980556,0.015560443,0.006236007
7,16,11,0.999904604,0.999979247,0.013812782,0.006442507
7,16,12,0.999888139,0.999985401,0.014957316,0.00540349
7,16,13,0.999878832,0.999968641,0.015567167,0.007919462
7,16,14,0.999905802,0.99997967,0.013725766,0.006376563
7,16,15,0.999885423,0.999986086,0.0151378,0.005275285
7,17,2,0.99942652,0.999805618,0.033866796,0.019717085
7,17,3,0.996445555,0.999875791,0.084314235,0.015761252
7,17,4,0.999081789,0.999758403,0.042853499,0.021981686
7,17,5,0.998861227,0.999716303,0.047723642,0.023820028
7,17,6,0.99934294,0.999819982,0.0362508,0.018974606
7,17,7,0.999362053,0.999839258,0.035719645,0.017929976
7,17,8,0.998623125,0.999887283,0.052476176,0.015014486
7,17,9,0.998871692,0.999921343,0.047503848,0.01254249
7,17,10,0.998794247,0.999680898,0.04910708,0.025262711
7,17,11,0.998818359,0.999864697,0.048613608,0.016450087
7,17,12,0.998831315,0.999373054,0.04834636,0.035410329
7,17,13,0.998956106,0.999890055,0.045692314,0.01482867
7,17,14,0.998352492,0.999831665,0.057402228,0.018348569
7,17,15,0.998207974,0.999421126,0.059866958,0.034025705
7,17,16,0.998789216,0.999546328,0.049209435,0.030122159
7,18,2,0.999435062,0.99990948,0.033613619,0.013455085
7,18,3,0.995922707,0.99992372,0.090302743,0.012351495
7,18,4,0.999802535,0.999974932,0.01987285,0.007080723
7,18,5,0.99980018,0.999929727,0.019991019,0.011855204
7,18,6,0.999774564,0.999933595,0.021233745,0.011524317
7,18,7,0.999729643,0.999945102,0.023253243,0.010478396
7,18,8,0.999907461,0.999976367,0.013604306,0.006875046
7,18,9,0.999819605,0.999938174,0.018994477,0.011119936
7,18,10,0.999813178,0.999946328,0.019329868,0.010360721
7,18,11,0.999834574,0.999950647,0.018189359,0.009935091
7,18,12,0.999824661,0.999960086,0.018726423,0.008934697
7,18,13,0.999822267,0.999942967,0.018853791,0.010680194
7,18,14,0.999924425,0.999956036,0.012294302,0.009376946
7,18,15,0.999812064,0.999955113,0.019387423,0.009474965
7,18,16,0.999811603,0.999953703,0.019411207,0.009622613
7,18,17,0.99993044,0.999955031,0.011794888,0.009483565
7,19,2,0.999815484,0.999932985,0.019210184,0.011577139
7,19,3,0.999748835,0.999941955,0.022412698,0.010774521
7,19,4,0.999628444,0.999938545,0.027260097,0.011086466
7,19,5,0.999747011,0.999915293,0.02249396,0.013015887
7,19,6,0.9997621,0.999916857,0.021812827,0.012895185
7,19,7,0.999802485,0.999922065,0.019875339,0.012484811
7,19,8,0.999384493,0.99994843,0.035085805,0.010155775
